Points_0,Points_1,Points_2,U_0,U_1,U_2
0.0255448,0.0106907,-0.00771923,0.194601,-0.0326838,0.107912
0.0258821,0.0107272,-0.00771923,0.156346,-0.012427,0.120581
0.0238475,0.00803339,-0.00771923,0.140409,-0.113621,0.102899
0.0238502,0.00809566,-0.00771923,0.144196,-0.114604,0.101969
0.0245177,0.00849197,-0.00771923,0.144483,-0.0949613,0.0756845
0.0247196,0.0084724,-0.00771923,0.140534,-0.0862647,0.0878294
0.0250743,0.00892561,-0.00771923,0.135973,-0.0615379,0.0884856
0.0135776,0.0186346,-0.00771923,-0.117822,0.141869,0.0840746
0.0135846,0.0183602,-0.00771923,-0.130137,0.147841,0.0900434
0.0129997,0.0184356,-0.00771923,-0.11308,0.104632,0.0734686
0.0141081,0.0188599,-0.00771923,-0.105128,0.157263,0.0852473
0.0138656,0.0188746,-0.00771923,-0.104615,0.148012,0.0819267
0.0140592,0.0194381,-0.00771923,-0.0846742,0.136288,0.0886374
0.0124907,0.0184348,-0.00771923,-0.126042,0.0903493,0.0679256
0.0119774,0.0178754,-0.00771923,-0.120841,0.087338,0.0673169
0.0119578,0.0173369,-0.00771923,-0.138243,0.0715529,0.0734815
0.0107776,0.015803,-0.00771923,-0.168388,0.0402171,0.0785421
0.0109289,0.015242,-0.00771923,-0.157208,0.0225441,0.0667277
0.0105701,0.0113814,-0.00771923,-0.181851,0.00418521,0.0921533
0.0105875,0.0113047,-0.00771923,-0.179409,0.00593971,0.0941588
0.0105757,0.0112975,-0.00771923,-0.159928,0.00627841,0.0893066
0.0136199,0.00718207,-0.00771923,-0.113667,-0.167295,0.0983328
0.0135799,0.0070721,-0.00771923,-0.0905003,-0.14014,0.0919686
0.0136508,0.0076082,-0.00771923,-0.12954,-0.174049,0.0871104
0.0130003,0.00706048,-0.00771923,-0.0930912,-0.120386,0.0924641
0.02283,0.00693175,-0.00771923,0.0771069,-0.138894,0.103449
0.0228005,0.00705444,-0.00771923,0.0859482,-0.143034,0.0971015
0.0228131,0.00654734,-0.00771923,0.0376822,-0.102536,0.108847
