Points_0,Points_1,Points_2,U_0,U_1,U_2
0.0216052,-0.0218754,-0.00151883,0.00436465,0.116951,0.110913
0.0213143,-0.0216945,-0.00151883,-0.00636499,0.114574,0.106241
0.0219195,-0.0217791,-0.00151883,0.0100772,0.0917758,0.0886601
0.0171721,-0.0217051,-0.00151883,-0.0384249,0.0911175,0.0917651
0.0165693,-0.0217756,-0.00151883,-0.0360614,0.0789975,0.0738354
0.0160157,-0.0219204,-0.00151883,-0.0399691,0.0839083,0.0924878
0.0150777,-0.0227256,-0.00151883,-0.0494145,0.101779,0.0955882
0.0149046,-0.0228747,-0.00151883,-0.0512617,0.10726,0.0987183
0.0129332,-0.024878,-0.00151883,-0.0418681,0.101144,0.1211
0.0128183,-0.0250038,-0.00151883,-0.0423445,0.098946,0.122315
0.0144776,-0.0354117,-0.00151883,-0.0237017,-0.102703,0.114658
0.014424,-0.0355849,-0.00151883,-0.0238482,-0.0834059,0.100956
0.014204,-0.0353194,-0.00151883,-0.025545,-0.0961751,0.0982235
0.0139082,-0.03485,-0.00151883,-0.0257302,-0.0875118,0.0962189
0.0140792,-0.0350695,-0.00151883,-0.0232366,-0.0962655,0.106854
0.0147733,-0.0356042,-0.00151883,-0.0317206,-0.101604,0.0991804
0.0138623,-0.0351267,-0.00151883,-0.0272786,-0.074765,0.0884118
0.0232055,-0.0360564,-0.00151883,0.036303,-0.0976476,0.1068
0.0233682,-0.0360512,-0.00151883,0.0355648,-0.0935544,0.100254
0.0124098,-0.0331999,-0.00151883,-0.0466903,-0.0826354,0.0937619
0.0124144,-0.0333448,-0.00151883,-0.039633,-0.0760358,0.0821442
0.0126093,-0.0333915,-0.00151883,-0.0372886,-0.0832865,0.0894321
0.01345,-0.0344749,-0.00151883,-0.0221872,-0.0894277,0.0990712
0.0134423,-0.0345059,-0.00151883,-0.0210518,-0.0871625,0.0958828
0.0129282,-0.0338769,-0.00151883,-0.0275445,-0.0867075,0.0945445
0.0129697,-0.033942,-0.00151883,-0.026595,-0.0873989,0.0971148
0.013441,-0.0345161,-0.00151883,-0.0207106,-0.0869284,0.094733
0.0134316,-0.0345335,-0.00151883,-0.0203962,-0.0835209,0.0925173
0.0129111,-0.0339578,-0.00151883,-0.024795,-0.0811363,0.0901718
0.0129279,-0.0339494,-0.00151883,-0.0253746,-0.0850051,0.0922992
0.0124557,-0.0252561,-0.00151883,-0.0443082,0.089296,0.135384
0.0119325,-0.0260487,-0.00151883,-0.0606927,0.066849,0.104825
0.011905,-0.0260711,-0.00151883,-0.06074,0.0665646,0.1012
0.0114417,-0.0276859,-0.00151883,-0.093971,0.0379747,0.103319
0.0114838,-0.027952,-0.00151883,-0.11008,0.0421475,0.11147
0.0115622,-0.0281915,-0.00151883,-0.124933,0.0466541,0.121442
0.0117002,-0.0276973,-0.00151883,-0.103597,0.0488198,0.119687
0.0116933,-0.0271717,-0.00151883,-0.0842274,0.0525761,0.104279
0.01151,-0.0284747,-0.00151883,-0.118701,0.0317114,0.121078
0.0112632,-0.0287376,-0.00151883,-0.106108,0.0189257,0.110395
0.0115156,-0.0289728,-0.00151883,-0.121348,0.014317,0.125221
0.0115023,-0.0297208,-0.00151883,-0.110334,-0.0135318,0.118968
0.0112657,-0.029717,-0.00151883,-0.107296,-0.0121393,0.111141
0.0115155,-0.0294867,-0.00151883,-0.121922,-0.00712113,0.125692
0.0115118,-0.029967,-0.00151883,-0.11924,-0.0231302,0.12197
0.0202195,-0.0369073,-0.00151883,-0.0497877,-0.131762,0.112369
0.0202562,-0.0365422,-0.00151883,-0.050739,-0.138478,0.132216
0.0202666,-0.0365209,-0.00151883,-0.0490683,-0.133429,0.130552
0.0197459,-0.0372094,-0.00151883,-0.0494156,-0.10754,0.096262
0.0197494,-0.0369713,-0.00151883,-0.0477455,-0.108847,0.100095
0.0200075,-0.0369633,-0.00151883,-0.0492151,-0.120398,0.104922
0.019512,-0.0369581,-0.00151883,-0.0537488,-0.116258,0.101339
0.0185098,-0.0369613,-0.00151883,-0.0545851,-0.0975342,0.0900613
0.0187651,-0.0372111,-0.00151883,-0.0482268,-0.0913771,0.0887481
0.0183012,-0.0369048,-0.00151883,-0.0541769,-0.0954226,0.0875449
0.0192165,-0.0368946,-0.00151883,-0.0591287,-0.123529,0.105099
0.0192361,-0.0365563,-0.00151883,-0.0670069,-0.129594,0.11871
0.0192535,-0.0365197,-0.00151883,-0.0647255,-0.120155,0.11508
0.0187625,-0.0369715,-0.00151883,-0.0510202,-0.0934191,0.0904029
0.0189996,-0.0369582,-0.00151883,-0.0557067,-0.106073,0.0944353
0.0177763,-0.036992,-0.00151883,-0.033035,-0.0770301,0.0888268
0.0180596,-0.0369653,-0.00151883,-0.0453278,-0.0901659,0.0873645
0.0182348,-0.0369064,-0.00151883,-0.0567316,-0.101799,0.0910906
0.018249,-0.036515,-0.00151883,-0.0676017,-0.10708,0.101281
0.0177558,-0.0367141,-0.00151883,-0.0539767,-0.0952086,0.09487
0.0171738,-0.036763,-0.00151883,-0.029249,-0.0991,0.0883945
