Points_0,Points_1,Points_2,U_0,U_1,U_2
0.0222702,0.0192328,-0.00771923,0.104682,0.043164,0.0814991
0.0222652,0.0197387,-0.00771923,0.0844987,0.0304022,0.0859576
0.0227915,0.0192581,-0.00771923,0.0914438,0.0340629,0.0823663
0.0217644,0.0197388,-0.00771923,0.095713,0.0408268,0.0845368
0.0187227,0.0207012,-0.00771923,0.0419814,0.0764754,0.105318
0.0182317,0.0207014,-0.00771923,0.0245372,0.0810976,0.108997
0.0192173,0.0207048,-0.00771923,0.0557955,0.0684931,0.101742
0.0197222,0.0207286,-0.00771923,0.064416,0.0556398,0.0975365
0.0202618,0.0202488,-0.00771923,0.0851976,0.0570533,0.0924442
0.0207589,0.0202438,-0.00771923,0.086721,0.0457458,0.0903332
0.0212544,0.0202385,-0.00771923,0.0800821,0.0342408,0.0892121
0.0212601,0.0197301,-0.00771923,0.100321,0.0473547,0.0848771
0.0177409,0.020701,-0.00771923,0.0055474,0.0815451,0.11091
0.0172466,0.0207046,-0.00771923,-0.0142235,0.0753979,0.106126
0.0247933,0.0162154,-0.00771923,0.139344,0.0951314,0.0729664
0.024805,0.0167245,-0.00771923,0.116208,0.0788893,0.0736996
0.0253136,0.0162121,-0.00771923,0.104568,0.0844255,0.0788388
0.0248049,0.0172278,-0.00771923,0.0846462,0.0564003,0.0780402
0.0242926,0.0172251,-0.00771923,0.110373,0.0583664,0.0718773
0.0243178,0.0177473,-0.00771923,0.0873938,0.043606,0.0744515
0.023797,0.0177372,-0.00771923,0.110095,0.0493282,0.0755514
0.0238242,0.0182657,-0.00771923,0.0902152,0.0346621,0.0774435
0.0232968,0.0182443,-0.00771923,0.10979,0.0441167,0.0783892
0.0233154,0.0187696,-0.00771923,0.095799,0.033942,0.079994
0.0253036,0.0157052,-0.00771923,0.12753,0.0991498,0.0748972
0.0252836,0.0151954,-0.00771923,0.138019,0.103786,0.0744319
0.0257848,0.0151674,-0.00771923,0.0979198,0.0826496,0.08213
0.0257741,0.0146661,-0.00771923,0.100343,0.0836537,0.0802147
0.025782,0.0141708,-0.00771923,0.0951608,0.0770859,0.0812657
0.0257925,0.0136759,-0.00771923,0.0904888,0.0706499,0.082886
0.0257985,0.0131806,-0.00771923,0.0890949,0.0624148,0.0857236
0.0258085,0.0111841,-0.00771923,0.100154,0.00980536,0.0929267
0.0257908,0.0116904,-0.00771923,0.100034,0.0254378,0.0955923
0.0257928,0.0121886,-0.00771923,0.0964073,0.0410631,0.0930185
0.0257979,0.0126849,-0.00771923,0.0908209,0.0529751,0.0889912
0.0252972,0.0111586,-0.00771923,0.132493,0.00773968,0.0991667
0.0253152,0.0106485,-0.00771923,0.123787,-0.0131833,0.0946509
0.022304,0.00658287,-0.00771923,0.0674523,-0.129595,0.066557
0.0228002,0.00710244,-0.00771923,0.0783321,-0.131484,0.0660901
0.0217794,0.0066157,-0.00771923,0.0760203,-0.163145,0.0653472
0.0217736,0.00610402,-0.00771923,0.0571855,-0.12156,0.0706427
0.0177339,0.00516595,-0.00771923,0.0337525,-0.132144,0.0876932
0.0182319,0.0051911,-0.00771923,0.0405844,-0.13848,0.0847374
0.0207436,0.00562974,-0.00771923,0.0524468,-0.124902,0.0737827
0.0212655,0.00611627,-0.00771923,0.0650101,-0.149908,0.0645233
0.0202487,0.00563626,-0.00771923,0.0584969,-0.144856,0.0706331
0.0197567,0.00562432,-0.00771923,0.0597912,-0.155757,0.0710471
0.0192584,0.00562387,-0.00771923,0.059474,-0.166485,0.0712425
0.01873,0.00516586,-0.00771923,0.0449508,-0.126514,0.0834986
0.0172063,0.00562397,-0.00771923,0.0175531,-0.172128,0.0836998
0.0177174,0.0056485,-0.00771923,0.0301856,-0.182154,0.08265
0.0106832,0.0141708,-0.00771923,-0.108807,0.0478226,0.0771047
0.0106727,0.013676,-0.00771923,-0.104533,0.0482732,0.0766164
0.0116603,0.0167245,-0.00771923,-0.134502,0.0561927,0.0723933
0.0111516,0.0162121,-0.00771923,-0.119276,0.0549619,0.0791681
0.0116604,0.0172278,-0.00771923,-0.101031,0.0407174,0.0755765
0.0111616,0.0157051,-0.00771923,-0.143032,0.0643818,0.0759223
0.0106804,0.0151673,-0.00771923,-0.112848,0.0485458,0.0813108
0.0106912,0.0146661,-0.00771923,-0.115664,0.0502348,0.0782351
0.0106667,0.0131807,-0.00771923,-0.107669,0.0505594,0.0769175
0.0106673,0.012685,-0.00771923,-0.115311,0.0518848,0.0770276
0.012685,0.00813775,-0.00771923,-0.125724,-0.0380266,0.105548
0.0126782,0.0076298,-0.00771923,-0.101877,-0.043062,0.0962932
